Rating_Number,Votes_Number,Computer_Score,Group_Rank,Group_Rank_Size,Total_Rank,Total_Rank_Size,PPI,HDMI,WiFi,Inbuilt Microphone,Bluetooth,SSD Interface,Keyboard,Microphone In,Speakers,Keyboard Backlit,Anti Glare Screen,GPU,Model,Series,Size,Warranty,Device Type,Touch,Processor,Resolution,OS,Battery,Features,Generation,RAM,Optical Drive,Adapter Type,Solid State Drive,Cache,Battery Details,Dimensions,Touchpad,Headphone Jack,Camera,Speed,RAM Bus Speed,Cores,Sales Package,Weight,Security Lock Port,Brand,Utility,USB Ports,Process Node,Ethernet,Type,Price
3.9,79,3,76,319,1687,2352,~ 141PPI,1 x HDMI Port,IEEE 802.11b/g/n,Yes,v5,No,No,Yes,Stereo Speakers,No,Yes,Intel UHD Graphics,Inspiron 3511,Inspiron,15.6inches,1year Warranty,Netbook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,Narrow Border WVA Display\n,11th Gen,8GB DDR4,No,No,256GB,6MB,No,358x235x19mm,Yes,Yes,Yes,2 x (Turbo Speed upto 4.1GHz) Cores,2666MHz,"Dual Core, 4 Threads",No,1.85kg,No,Intel,Everyday Use,"2 x USB 3.0, 1 x USB 2.0",No,Integrated 10/100 Gigabit Ethernet LAN,LED,"35,490"
4.45,134,2,72,139,451,2352,~ 225PPI,No,No,Built-in 3-microphone array,v5.2,NVMe PCIe Gen4,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",No,2-speaker system with Smart Amplifier Technology,Yes,No,NVIDIA GeForce RTX 4060,GZ301VV-MU014WS,ROG Flow Z13 (2023),13.4inches,1year Onsite Warranty,Netbook,Yes,13th Gen Intel Core i9 13900H,2560x1600pixels,Windows 11 Home (64-bit),"56Wh, 4 Cell Battery","500, 1000:1, 100%, Glossy display, Adaptive-Sync, Support Dolby Vision HDR",13th Gen,16GB LPDDR5,No,130W AC Adapter,1TB,24MB,No,302x206x14.2mm,Yes,Yes,13MP camera and 5MP IR camera,6 x 2.6GHz (Turbo Speed upto 5.4GHz) Performance Cores  8 x 1.9GHz (Turbo Speed upto 4.1GHz) Efficient Cores,No,"14 Cores (6P + 8E), 20 Threads","Laptop, battery, power adapter, user guide",1.18kg,No,Intel,Gaming,"1 x USB Type-C, 1 x USB 3.0",10 nm,No,IPS-level,"1,20,000"
4.5,84,3,259,345,2063,2352,~ 141PPI,1 x HDMI 1.4 Port,802.11ac,Yes,v802.11,No,"English International Non , No",Yes,Yes,Yes,No,AMD Radeon Graphics,"INSPIRON 3515, INSPIRON 3515",Inspiron,15.6inches,1year Onsite Warranty,Ultrabook,No,3rd Gen AMD Ryzen 3  3250U,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,No,3rd Gen,8GB DDR4,No,No,No,4MB,No,189x358x23.5mm,Yes,Yes,Yes,2 x 2.6GHz (Turbo Speed upto 3.5GHz) Cores,2400MHz,"Dual Core, 4 Threads","Laptop, battery, adapter, cables and user manuals",1.8kg,Kensington Lock Port,AMD,"Everyday Use, Performance","2 x USB 3.0, 1 x USB 2.0",No,Yes,FHD WVA AG Narrow Border,"38,100"
4.65,89,2,56,83,353,2352,~ 112PPI,1 x HDMI v1.4b Port,IEEE 802.11ac,Built-in Microphone,v4.1,No,"English International Non , No",Yes,Built-in Speaker,Yes,Yes,Intel Integrated UHD,D552224WIN9D,Vostro 3401,14inches,1year Warranty,Ultrabook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,HD LED Backlit Display,11th Gen,8GB DDR4,No,No,256GB,6MB,No,240x329x18mm,Yes,Yes,Yes,2 x (Turbo Speed upto 4.1GHz) Cores,2666MHz,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.59kg,Kensington Lock Slot,Intel,Performance,"2 x USB 3.0, 1 x USB 2.0",No,Yes,LED,"2,09,990"
4.3,140,3,167,319,1862,2352,~ 157PPI,1 x HDMI 1.4 Port,2 X 2 Dual Band Wi-Fi 5\n,Yes,v5,No,Scissor Mechanism ABS Texture,Yes,2x2W Stereo Speakers,No,Yes,Intel UHD Graphics,RedmiBook e-Learning Edition,Core i3,15.6inches,No Warranty,Netbook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 10 Home (64-bit),No,Wide-viewing Angle,11th Gen,8GB DDR4,No,65W Power Adapter,512GB,6MB,No,363.8x243.5x19.9mm,Multi-touch Support,Yes,Yes,2 x (Turbo Speed upto 4.1GHz) Cores,3200MHz,"Dual Core, 4 Threads",No,1.8kg,Kensington Lock\n,Intel,Everyday Use,"2 x USB 3.0, 1 x USB 2.0",No,Yes,LED,"35,990"
4.5,90,3,152,345,1717,2352,~ 141PPI,1 x HDMI 1.4 Port,Wi-Fi 6 (802.11ax) Dual Band (2*2),Built-in Microphone,v5,No,"Backlit Chiclet Keyboard with Num-key, Yes",Yes,Built-in Speaker,Yes,Yes,Intel Iris Xe,K513EA-L523TS,Core i5,15.6inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i5 1135G7,1920x1080pixels,Windows 10 Home (64-bit),"42Wh, 3 Cell Battery","Full HD LED Backlit OLED Glossy Display (400nit Brightness, DCI-P3: 100% Color Gamut, 85% Screen-to-body Ratio)",11th Gen,16GB DDR4,No,65W AC Adapter\n,512GB,8MB,No,359x235x17.9mm,Yes,Yes,Yes,4 x 2.4GHz (Turbo Speed upto 4.2GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Battery, Adapter, Cables and User Manuals",1.8kg,No,Intel,Performance,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",No,No,LED,"38,490"
4.2,4,3,126,272,1537,2352,~ 157PPI,1 x HDMI 1.4 Port,802.11AX (2 x 2),Yes,v5.1,No,No,Yes,No,Yes,Yes,Intel Iris Xe Graphics,20TAS0E800,ThinkPad E14 Gen 2,14inches,1year Warranty,Hybrid,No,11th Gen Intel Core i5 1135G7,1080x1920pixels,Windows 10 Pro (64-bit),3 Cell Battery,No,11th Gen,16GB DDR4,No,65W AC adapter,512GB,8MB,No,324x220x19mm,Yes,Yes,Yes,4 x 2.4GHz (Turbo Speed upto 4.2GHz) Cores,3200MHz,"Quad Core, 8 Threads",No,1.59kg,No,Intel,"Business, Everyday Use","1 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",No,RJ45,No,"44,990"
4,53,2,215,481,1132,2352,~ 157PPI,1 x HDMI Port,802.11 a/b/g/n/ac,Built-in Microphone,v5,No,Standard Notebook Keyboard,Yes,Dual Speakers,No,Yes,NVIDIA GeForce MX330,T14 (20S0S1MC00),ThinkPad T14,14inches,1year Warranty,Netbook,No,10th Gen Intel  Core i7 10510U,1920x1080pixels,Windows 10 Professional (64-bit),3 Cell Battery,Full HD Display,10th Gen,16GB DDR4,No,No,512GB,8MB,No,329x227x18mm,Multi-Touch Gestures Enabled,Yes,Yes,4 x 1.8GHz (Turbo Speed upto 4.9GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop , Battery , User Manuals",1.55kg,No,Intel,"Business, Performance",2 x USB 3.0,No,No,LED,"59,767"
4.05,83,2,170,315,861,2352,~ 157PPI,1 x HDMI Port,802.11ax 2x2 Wi-Fi,Yes,v5.2,NVMe,No,Yes,No,Yes,Yes,NVIDIA T550,21AKS02800,ThinkPad P14s,14inches,3years Warranty,Netbook,No,12th Gen Intel Core i7 1260P,1920x1080pixels,Windows 11 Professional (64-bit),"52.5Wh, 4 Cell Battery",300 nits Brightness,12th Gen,16GB DDR4,No,No,512GB,18MB,\u200e52.5 Watt Hours,318x227x18mm,Yes,Yes,Yes,4 x 2.1GHz (Turbo Speed upto 4.7GHz) Performance Cores  8 x 1.5GHz (Turbo Speed upto 3.4GHz) Efficient Cores,3200MHz,"12 Cores (4P + 8E), 16 Threads","Laptop, Adapter",1.38kg,Yes,Intel,Business,"2 x USB Type-C, 2 x USB 3.0",10 nm,Yes,IPS,"88,100"
4.05,99,2,204,231,956,2352,~ 157PPI,1 x HDMI 2.1 Port,Intel Wi-Fi 6E AX211 (2x2,Yes,v5.2,NVMe,HP Premium Keyboard – spill resistant,Yes,No,Yes,Yes,Intel Iris Xe Graphics,6K3L6PA,HP ProBook 440 G9,14inches,1year Warranty,Hybrid,No,12th Gen Intel Core i5 1235U,1920x1080pixels,Windows 11 Home (64-bit),"51Wh, 3 Cell Battery","250 nits, 45% NTSC",12th Gen,16GB DDR4,No,HP Smart 65 W EM External AC power adapter,512GB,12MB,51 Wh Li-ion,321.9x213.9x19.9mm,Clickpad with multi-touch gesture support,Yes,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"10 Cores (2P + 8E), 12 Threads",No,1.38kg,Yes,Intel,"Business, Performance","1 x USB Type-C, 3 x USB 3.0",10 nm,Yes,IPS,"1,42,990"
4.3,73,2,24,139,205,2352,~ 338PPI,1 x HDMI 2.0b Port,Wi-Fi 6 (802.11ax) Dual Band (2x2),Built-in Array Microphone,v5.1,No,"Backlit Chiclet Keyboard, Yes",Yes,2 x 1 W Speaker with Smart Amp Technology,Yes,Yes,NVIDIA GeForce GTX 1650,GV301QH-K5459TS,ROG Flow X13 (2021),13.4inches,1year Onsite Warranty,Netbook,Yes,5th Gen AMD Ryzen 9  5980HS,3840x2400pixels,Windows 10 Home (64-bit),"62Wh, 4 Cell Battery","WQUXGA LED Backlit LCD Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 60 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 82% NTSC Color Gamut, 116% sRGB, 86% Adobe, 85% DCI-P3, Pantone Validated)",5th Gen,32GB LPDDR4X,No,100 W AC Adapter,1TB,16MB,No,299x222x15.8mm,Yes,Yes,Yes,8 x 3GHz (Turbo Speed upto 4.8GHz) Cores,4266MHz,"Octa Core, 16 Threads","Laptop, TYPE-C Power Adaptor, User Guide, Warranty Documents, GV301 sleeve bag, Pen",1.3kg,No,AMD,"Gaming, Performance","2 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",No,No,LED,"1,33,990"
4.7,54,2,90,270,666,2352,~ 141PPI,1 x HDMI Port,802.11 a/b/g/n/ac,Built-in Microphone,v5,No,English Non Keyboard,Yes,Built-in Speakers,Yes,Yes,Intel UHD,Slim 3 15IML05 (81WB0158IN),Core i3,15.6inches,1year Warranty,Netbook,No,10th Gen Intel Core i3 10110U,1920x1080pixels,Windows 10 Home Basic (64-bit),3 Cell Battery,Full HD IPS LED Backlit Display,10th Gen,4GB DDR4,No,No,256GB,4MB,No,362.2x253.4x19.9mm,Multi-Touch Gestures Enabled,Yes,Yes,2 x 2.1GHz (Turbo Speed upto 4.1GHz) Cores,2666MHz,"Dual Core, 4 Threads","\u200eLaptop, Power Adapter, User Manual\n",1.7kg,No,Intel,Everyday Use,"2 x USB 3.0, 1 x USB 2.0",No,No,LED,"86,600"
4.25,83,1,5,83,27,2352,~ 141PPI,1 x HDMI 2.0 Port,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Built-in Microphone,v5,No,"Full-size, Ultra Violet Backlit, Shadow Black Keyboard with Numeric Keypad, Yes",Yes,Built-in Dual Speaker,Yes,Yes,NVIDIA GeForce GTX 1650,15-ec1105AX,15-ec1105AX,15.6inches,1year Onsite Warranty,Netbook,No,4th Gen AMD Ryzen 5  4600H,1920x1080pixels,Windows 10 Home (64-bit),"52.5Wh, 3 Cell Battery","Full HD IPS Micro-edge WLED-backlit Display (Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC)",4th Gen,8GB DDR4,No,No,512GB,8MB,No,360x257x23.5mm,"HP Imagepad with Multi-touch Gesture Support, Precision Touchpad Support",Yes,Yes,6 x 3GHz (Turbo Speed upto 4GHz) Cores,No,"Hexa Core, 12 Threads","Laptop, Power Adaptor, User Guide",1.98kg,No,AMD,"Gaming, Performance","1 x USB Type-C, 1 x USB 2.0",No,Integrated 10/100/1000 GbE LAN,IPS,"1,99,990"
4.35,885,3,144,319,1942,2352,~ 141PPI,1 x HDMI 1.4 Port,802.11ax,Built-in Microphone,v5,NVMe PCIe Gen3,Backlit Chiclet Keyboard,Yes,Built-in Speaker,Yes,Yes,Intel UHD Graphics,X1502ZA-EJ322WS,Vivobook 15 2022,15.6inches,1year Onsite Warranty,Netbook,No,12th Gen Intel Core i3 1215U,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,"TUV Rheinland-Certified, Screen-to-Body Ratio: 82 ％",12th Gen,8GB DDR4,No,65W AC Adapter,512GB,10MB,No,No,Yes,Yes,Yes,2 x 1.2GHz (Turbo Speed upto 4.4GHz) Performance Cores  4 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"Hexa Core (2P + 4E), 8 Threads","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",No,No,Intel,Performance,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",10 nm,No,LED,"35,990"
4.5,1,2,161,481,998,2352,~ 157PPI,1 x HDMI 2.0b Port,Wi-Fi 6(802.11ax) Dual band (2*2),Built-in Array Microphone,v5.2,No,"Backlit Chiclet Keyboard, Yes",Yes,Built-in Speaker,Yes,Yes,NVIDIA GeForce RTX 3050,GA401QC-HZ062TS,Zephyrus G14,14inches,1year Onsite Warranty,Netbook,No,5th Gen AMD Ryzen 7  5800HS,1920x1080pixels,Windows 10 Home (64-bit),4 Cell Battery,sRGB: 100% Adobe: 75.35% Refresh Rate: 144Hz IPS-level Pantone Validated:,5th Gen,16GB DDR4,No,150W AC Adapter,1TB,16MB,No,324x222x17.9mm,Yes,Yes,Yes,8 x 2.8GHz (Turbo Speed upto 4.4GHz) Cores,3200MHz,"Octa Core, 16 Threads","Laptop, Power Adaptor, User Guide, Sleeve",1.6kg,Kensington Lock,AMD,Gaming,"1 x USB Type-C, 2 x USB 3.0",No,No,LED,"59,400"
4.15,114,3,207,272,1934,2352,~ 127PPI,1 x HDMI 2.0b Port,"Wi-Fi 6(802.11ax) Bluetooth 5.1 (Dual band), Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band)",AI mic noise-canceling Built-in array microphone,Yes,No,"Backlit KB- 4 zone RGB, Yes",Yes,2x 2W speaker,Yes,Yes,NVIDIA GeForce RTX 3050,G713QC-HX051T,ROG Strix G17,17.3inches,1year Warranty,Netbook,No,5th Gen AMD Ryzen 7 5800H,1920x1080pixels,Windows 10 (64-bit),4 Cell Battery,144 hz Refresh Rate,5th Gen,8GB DDR4,No,200W AC Adapter,1TB,16MB,No,395x282x21.4mm,Touch Pad,Yes,No,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,3200MHz,"Octa Core, 16 Threads","Gaming laptop, adaptor, user manual",2.5kg,No,AMD,Gaming,"1 x USB Type-C, 3 x USB 3.0",No,10/100/1000 MBPS,LED,"42,990"
4.75,98,2,44,227,353,2352,~ 225PPI,No,No,Built-in 3-microphone array,v5.2,NVMe PCIe Gen4,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",No,2-speaker system with Smart Amplifier Technology,Yes,No,NVIDIA GeForce RTX 4070,RMT02 GZ301VIC-MU004WS,ROG Flow Z13-ACRNM,13.4inches,1year Onsite Warranty,Netbook,Yes,13th Gen Intel Core i9 13900H,2560x1600pixels,Windows 11 Home (64-bit),"56Wh, 4 Cell Battery","500, 1000:1, 100%, Glossy display, Adaptive-Sync, Support Dolby Vision HDR",13th Gen,32GB LPDDR5,No,130W AC Adapter,1TB,24MB,"56WHrs, 4S1P, 4-cell Li-ion",302x214x15.6mm,Yes,Yes,13MP camera and 5MP IR camera,6 x 2.6GHz (Turbo Speed upto 5.4GHz) Performance Cores  8 x 1.9GHz (Turbo Speed upto 4.1GHz) Efficient Cores,No,"14 Cores (6P + 8E), 20 Threads","Laptop, battery, power adapter, user guide",1.32kg,No,Intel,Gaming,"2 x USB Type-C, 1 x USB 3.0",10 nm,No,IPS-level,"1,12,100"
4.05,97,2,53,227,419,2352,~ 100PPI,1 x HDMI Port,Realtek RTL8821CE 802.11b/g/n/ac (2x2),Integrated dual array digital Microphones,v5,No,Full-size island-style Jet Black keyboard with numeric keypad,Yes,Dual Speakers,No,No,AMD Radeon Radeon,15s-eq1561AU,Ryzen 3,15.6inches,1year Onsite Warranty,Ultrabook,No,3rd Gen AMD Ryzen 3  3250U,1366x768pixels,Windows 11 Home (64-bit),3 Cell Battery,220 nits Brightness,3rd Gen,8GB DDR4,No,No,256GB,4MB,No,358x242x17.9mm,Yes,No,Yes,2 x 2.6GHz (Turbo Speed upto 3.5GHz) Cores,3200MHz,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.69kg,No,AMD,Performance,"1 x USB Type-C, 2 x USB 3.0",No,No,HD,"1,01,090"
4.3,88,2,24,35,153,2352,~ 141PPI,1 x HDMI 2.0 Port,MediaTek Wi-Fi CERTIFIED 6 MT7921 (2x2),Integrated dual array digital microphones,v5.2,No,"Full-size, backlit, Natural Silver keyboard with numeric keypad, Yes",Yes,Dual speakers,Yes,Yes,NVIDIA GeForce MX450,15-eg1000TX,Pavilion,15.6inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i5 1155G7,1920x1080pixels,Windows 11 Home (64-bit),"41Wh, 3 Cell Battery","Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",11th Gen,16GB DDR4,No,No,512GB,8MB,No,360x234x17.9mm,HP Imagepad with Multi-touch Gesture Support,Yes,Yes,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",1.75kg,No,Intel,Performance,"1 x USB Type-C, 1.4 x USB 2.0",10nm SuperFin,No,"FHD, IPS, Micro-edge, Bright view","2,84,990"
3.95,267,3,91,319,1760,2352,~ 141PPI,1 x HDMI Port,802.11a/b/g/n/ac wireless LAN,Built-in Dual Microphone,v4.2,No,"100-/101-/104-key FineTip keyboard with independent numeric keypad, international language support, and power button",Yes,Two built-in stereo speakers,No,No,AMD Radeon Graphics,"A315-23, Aspire 3",Aspire 3,15.6inches,1year Warranty,Netbook,No,3rd Gen AMD Ryzen 3  3250U,1920x1080pixels,Windows 11 Home (64-bit),2 Cell Battery,"Full HD, high-brightness Acer ComfyView LED-backlit TFT LCD",3rd Gen,4GB DDR4,No,45 W AC Adapter,512GB,4MB,No,363.4x250.5x19.9mm,Touchpad with Multi-touch Gesture Support,Yes,Yes,2 x 2.6GHz (Turbo Speed upto 3.5GHz) Cores,No,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.9kg,Kensington lock slot,AMD,Performance,"2 x USB 3.0, 1 x USB 2.0",No,Gigabit Ethernet,TFT LCD,"34,500"
4.15,111,3,272,332,1507,2352,~ 141PPI,1 x HDMI 2.1 Port,"11ax, 2x2)",Built-in Dual Array Microphones,v5.1,No,"4-Zone RGB , Yes",Yes,Dual Stereo Speakers,Yes,Yes,NVIDIA GeForce RTX 3050,15ACH6,Ryzen 7,15.6inches,1year Onsite Warranty,Netbook,No,5th Gen AMD Ryzen 7  5800H,1920x1080pixels,Windows 11 Home (64-bit),No,"300nits, 165Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC Dimmer Display",5th Gen,16GB DDR4,No,No,512GB,16MB,No,No,Yes,Yes,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,No,"Octa Core, 16 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",2.4kg,No,AMD,Performance,"1 x USB 3.0, 1.4 x USB 2.0",No,100/1000M,Full HD IPS,"75,999"
4.1,505,3,175,319,1885,2352,~ 157PPI,1 x HDMI Port,Intel Wi-Fi 6 AX201(2*2 ax),Built-in Microphone,v5.1,No,Single backlight Keyboard(White),Yes,Built-in Dual Speakers,Yes,No,Intel Integrated UHD,"Modern 14 B11MOU-862IN, Modern 14 B11MOU-862IN",Modern,14inches,1year Warranty,Ultrabook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 10 Home (64-bit),"39Wh, 3 Cell Battery",60Hz 45%NTSC IPS-Level,11th Gen,8GB DDR4,No,No,512GB,6MB,No,319x219x18.1mm,Yes,Yes,Yes,2 x (Turbo Speed upto 4.1GHz) Cores,No,"Dual Core, 4 Threads","Laptop, battery, adapter, cables and user manuals",1.3kg,No,Intel,Performance,2 x USB 3.0,No,No,Full HD,"35,500"
4.5,107,2,132,227,859,2352,~ 141PPI,1 x HDMI 1.4 Port,Wi-Fi 6(802.11ax) 2x2,Built-in Microphone,v5,No,"Backlit Chiclet Keyboard with Num-key, Yes",Yes,Built-in Speakers,Yes,Yes,Intel Integrated Iris Xe,K513EA-L512WS,VivoBook K15 OLED (2021),15.6inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i5 1135G7,1920x1080pixels,"Windows 11 Home, Windows 11 Home (64-bit)","42Wh, 3 Cell Battery","600nits peak brightness, 100% DCI-P3 color gamut 1, 000, 000:1 VESA CERTIFIED Display HDR True Black 600 1.07 billion colors PANTONE Validated, Glossy display 70% less harmful blue light",11th Gen,16GB DDR4,No,65W AC Adapter,512GB,8MB,No,359x235x17.9mm,Yes,Yes,Yes,4 x 2.4GHz (Turbo Speed upto 4.2GHz) Cores,No,"Quad Core, 8 Threads","Laptop, battery, adapter, cables and user manuals",1.8kg,No,Intel,Performance,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",No,No,Full HD,"1,00,500"
4,435,3,193,345,1904,2352,~ 157PPI,1 x HDMI Port,802.11ac,Yes,v5.1,No,No,Yes,No,Yes,Yes,Intel Iris Xe Graphics,21E3S04X00,ThinkPad E14,14inches,1year Onsite Warranty,Netbook,No,12th Gen Intel Core i5 1235U,1920x1080pixels,\u200eWindows 11 Home (64-bit),3 Cell Battery,Full HD Display,12th Gen,8GB DDR4,No,No,512GB,12MB,No,324x220x19mm,Yes,Yes,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"10 Cores (2P + 8E), 12 Threads","\u200eLaptop, User manual, Adapter\n",1.59kg,Yes,Intel,"Business, Performance","1 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",10 nm,Yes,LED,"40,500"
4.1,265,2,222,447,1304,2352,~ 242PPI,1 x HDMI Port,Yes,Yes,v5.1,No,No,Yes,2×2W Speakers,Yes,Yes,AMD Radeon Graphics,RedmiBook 15,Ryzen 5,15.6inches,1year Warranty,Netbook,No,5th Gen AMD Ryzen 5  5600H,3200x2000pixels,Windows 10 Home (64-bit),No,90Hz Refresh Rate,5th Gen,16GB DDR4,No,100W USB-C Power Adapter,512GB,16MB,No,350x242x17.9mm,Yes,Yes,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,3200MHz,"Hexa Core, 12 Threads",No,1.8kg,No,AMD,Everyday Use,"2 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",No,No,LED,"56,990"
4.35,95,2,167,376,940,2352,~ 141PPI,1 x HDMI 2.0 Port,Yes,Yes,v5,NVMe PCIe Gen4,English,Yes,2W Dual Stereo speakers,Yes,Yes,Nvidia Quadro T550,21BTS02000,Thinkpad P16s,16inches,3years Onsite Warranty,Netbook,No,12th Gen Intel Core i7 1260P,1920x1200pixels,Windows 11 Pro (64-bit),"52.5Wh, 4 Cell Battery","45% NTSC, 300 Nits",12th Gen,16GB DDR4,No,65W Adapter,1TB,18MB,\u200e52.5 Watt Hours,No,Yes,Yes,720P HD RGB,4 x 2.1GHz (Turbo Speed upto 4.7GHz) Performance Cores  8 x 1.5GHz (Turbo Speed upto 3.4GHz) Efficient Cores,3200MHz,"12 Cores (4P + 8E), 16 Threads","Laptop, Adapter & User Manuals",No,Kensington security lock slot,Intel,Business,"2 x USB Type-C, 2 x USB 3.0",10 nm,Yes,IPS,"67,990"
4.55,72,2,53,447,746,2352,~ 112PPI,1 x HDMI Port,802.11ax,Dual-array Microphone\n,v5.1,No,"Single Pointing Non-Backlit Keyboard, English International",Yes,Stereo Speakers With Realtek Audio Controller,Yes,No,Intel Iris Xe Graphics,Latitude 3430,Latitude,14inches,1year Warranty,Netbook,No,12th Gen Intel Core i5 1235U,1366x768pixels,\u200eWindows 11 Pro (64-bit),"650Wh, 4 Cell Battery",No,12th Gen,8GB DDR4,No,45 W AC adapter,512GB,12MB,650 WHrs Li-ion,No,Yes,Yes,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,3200MHz,"10 Cores (2P + 8E), 12 Threads",\u200eLaptop & Adapter\n,1.59kg,No,Intel,Everyday Use,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",10 nm,Yes,LED,"53,990"
4.7,64,2,116,231,292,2352,~ 157PPI,1 x HDMI v1.4 Port,Intel Wi-Fi 6 2x2 (Gig+,Yes,v5,No,Yes,Yes,Yes,Yes,No,Intel Integrated UHD,Inspiron 5410,Inspiron,14inches,1year Onsite Warranty,Hybrid,Yes,11th Gen Intel Core i3 1125G4,1920x1080pixels,"Windows 10, Windows 10 (64-bit)",3 Cell Battery,Full HD WVA Touch Display,11th Gen,8GB DDR4,No,No,256GB,8MB,No,321x211x18mm,Yes,No,Yes,4 x (Turbo Speed upto 3.7GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop, Battery, Adapter, Cables and User Manuals",1.56kg,Kensington Lock Port,Intel,Performance,"1 x USB Type-C, 2 x USB 3.0",No,No,LED,"1,48,490"
4.35,99,2,148,227,933,2352,~ 141PPI,1 x HDMI 1.4 Port,"11ac, 2x2",Built-in array microphone,v5,No,"English Non , No",Yes,Built-in Dual Speakers,Yes,Yes,Intel Integrated UHD,15IML05,IdeaPad 3,15.6inches,1year Warranty,Ultrabook,No,10th Gen Intel Core i3 10110U,1920x1080pixels,Windows 10 Home (64-bit),35Wh Battery,Full HD TN 220nits,10th Gen,8GB DDR4,No,45W AC Adapter\n,256GB,4MB,No,362.2x253.4x19.9mm,Yes,Yes,Yes,2 x 2.1GHz (Turbo Speed upto 4.1GHz) Cores,2666MHz,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.7kg,No,Intel,Performance,"2 x USB 3.0, 1 x USB 2.0",No,No,LED,"1,08,000"
4.2,755,2,122,447,1042,2352,~ 338PPI,1 x HDMI 2.0b Port,Wi-Fi 6E(802.11ax) Dual band) 2x2,Built-in Microphone,v5.2,No,"Backlit Chiclet Keyboard Single Light, Yes",Yes,Built-in Speakers,Yes,No,NVIDIA GeForce RTX 3050 Ti,GV301RE-LI201WS,ROG Flow X13,13.4inches,1year Onsite Warranty,Netbook,Yes,6th Gen AMD Ryzen 7  6800HS,3840x2400pixels,Windows 11 Home (64-bit),"62Wh, 4 Cell Battery","60Hz Refresh Rate, Touch Screen, IPS-level, Brightness 450nits, Contrast 1000:1, NTSC 82%, SRGB 116%, Adobe 86%, DCI-P3 85%, Glossy display",6th Gen,32GB LPDDR5,No,No,1TB,16MB,No,299x222x16.9mm,Yes,No,Yes,8 x 3.2GHz (Turbo Speed upto 4.7GHz) Cores,No,"Octa Core, 16 Threads","Laptop, Battery, Adapter, Cables and User Manuals",1.3kg,No,AMD,Gaming,"1 x USB Type-C, 1 x USB 3.0",No,No,UHD+ LED-Backlit LCD,"56,990"
